,맛_음식,상품명
70,"장홍삼 장수 막걸리, 750ml, 6% 인삼향과 곡물향이 잘 섞여 코 안으로 들어온다. 입에 넣으면 산미가 가장 먼저 올라오고 그 다음 탄산이 입 전체를 시원하게 만들어 준다. 산미와 청량감이 술 전체를 가볍게 만들어주고 목넘김을 매우 깔끔하게 해준다. 삼겹살 등과 잘 어울린다.",장홍삼 장수 막걸
71,"동학 1957, 375ml / 700ml, 13% 깨끗한 담황색인 청주다. 코끝에서 뭉근하게 느껴지는 쌀 향이 특징으로 느껴진다. 입안에 머금은 순간 담백함이 먼저 시작되며, 이내 쌀 특유의 부드러운 단맛과 가벼운 산미로 마무리된다. 어디 하나 모난 곳이 없어 밸런스가 좋은 술이라고 할 수 있다. 식중주로 좋은 역할을 하는 술이며, 다채로운 한식과 잘 어울리는 스타일이다. 세심한 매칭보다는 부담 없이 어울리는 스타일로 한정식 등과 함께 즐기면 이 술을 충분히 즐길 수 있다.",동학 1957
72,"지란지교 탁주 500ml, 13% 전체적으로 약간 밝은 회색과 흰색을 가지고 있으며 연노랑색도 보인다. 술지게미의 양은 많게 느껴지고 제성은 곱게 되었다. 첫 향에서 쌀 곡물의 향과 풀향, 곰팡이 향이 느껴진다. 중간에 참외 향이 느껴지고 마지막에는 단향과 국화향이 약하게 느껴진다. 혀에서 느껴지는 첫 맛은 곡물의 단맛이 강하고 약간의 신맛이 난다. 바로 텁텁한 쌀 맛이 이어지며 누룩향과 함께 쓴맛이 느껴진다. 마지막에서는 곡물의 단맛과 신맛이 약하게 마무리되며 쓴맛의 여운이 남는다. 전체적으로 술 지게미로 인해 무게감이 있고 입안을 꽉 채우고 난 후 목으로 넘어가는 것도 무겁게 느껴진다. 하지만 단맛과 신맛이 있어 부담감은 적다. 향에서는 다양한 향이 있고 맛에서는 단맛과 신맛이 강한 편이나 전체적인 균형감이 좋다. 무게감이 있어서 첫 입에서의 느낌은 강하지만 전체적으로 마시기에는 불편함이 없다. 전, 육전, 떡볶이와 잘 어울린다.",지란지교 탁주
73,"금정산성 막걸리, 750ml, 8% 특유의 새콤한 맛에 알코올 도수 8도로 전통막걸리의 맛을 느낄수 있다. 바디감은 적은 편이고 특유의 산미가 입안에 오래 남는다. 직접 개발한 부산산성누룩으로 빚어서 누룩향도 그윽하게 지속된다. 부산 금정산성에 가면 맛볼 수 있는 흑염소 불고기와 잘 어울린다.",금정산성 막걸
74,"문경바람 백자 40%, 750ml / 375ml, 40% 머금고 난 이후에 코로 올라오는 뭉근한 사과향, 그리고 상쾌함이 마실 수록 개성이 느껴지는 증류주이다. 가벼운 안주류로 아몬드, 초콜릿, 올리브, 견과류, 육류로는 육포 등을 추천한다. 물론 과일안주, 꿀물 등과 같이 마셔도 좋다. 가볍게 탄산 및 얼음을 넣은 온더록 형태도 나쁘지 않다.",문경바람 백자 40%
75,"세우리, 700ml, 45% 유리병 안에 들어있는 산양산삼이 인상적이고 진한 호박색의 술로 인삼과 함께 여러 가지 약재의 향이 가득한 것이 특징이다. 도수가 높아 집에 두고 한 잔씩 약으로 마시기 좋은 술이며, 입 안의 풍미가 약재의 향으로 가득하고 목 넘김이 뜨겁다. 삼계탕 등 몸 보양을 위해 먹는 음식과 다 잘 어울린다.",세우
76,"내장산내장산복분자주 지통1호 700ml , 16% 산뜻하게 올라오는 달콤한 과실향이 좋고 단맛은 적으나 적절한 산미와 쓴맛이 있고 아주 약한 타닌이 입안을 자극시킨다. 소고기와 잘 어울린다.",내장산 복분자주 지통1호
77,"문경바람 백자 25%, 750ml / 375ml, 25% 살짝 알코올도수는 낮으나 사과향을 즐기기에는 충분히 좋은 수준이다. 가벼운 안주류로 아몬드, 초콜릿, 올리브, 견과류, 육류로는 육포 등을 추천한다. 물론 과일 안주, 꿀물 등과 같이 마셔도 좋다. 가볍게 탄산 및 얼음을 넣은 온더록 형태도 식중주 형태로 즐겨도 충분히 매력적이다.",문경바람 백자 25%
78,"황금보리소주25, 375ml, 25% 보리를 원재료로 만든 증류식소주답게 구수한 맛과 독특한 향, 그리고 목 넘김이 좋다. 희석식 소주가 알싸한 알코올 향에 단맛이 느껴진다면 증류식 소주에서 느껴지는 은은한 누룩 향과 단맛이 매력적인 술이다. 25% 알코올이라 얼음을 넣어 마시면 청량감 있게 마실 수 있다. 술을 입에 넣으면 크림과 같은 부드러움이 입 안 전체를 채워주고 알코올이 혀를 자극시킨다. 목 넘김이 좋고 술을 마시고 난 후에 여운이 짧다. 맛이 순한 생선 요리나 전 등이 잘 어울린다.",황금보리소주25
79,"부자10 375ml, 10% 주원료인 쌀의 특징이 잘 살아있으며, 단맛이 강하고 산미가 적은 묵직한 막걸리다. 탄산에 의한 청량감은 강하지 않지만 맛이 진해 너무 가벼운 음식보다는 탕수육과 같이 중국음식과 잘 어울린다. 살균되어 있어 오래 두고 마실 수 있는 막걸리.",부자 10
80,"산막 생유 막걸리, 750ml, 6% 아이보리 색을 가지고 있으며 곡물향과 상큼한 향이 섞여 올라온다. 입에 넣으면 탄산이 입 전체를 자극시키고 그 뒤로 상큼한 맛이 느껴진다. 단맛이 적고 신맛이 술 전체를 이끌어가지만 술 맛의 균형이 잘 갖춰져 있다. 술을 마시고 난 후에는 고소한 맛이 혀에 남아 술이 너무 가볍게 느끼지 않도록 한다. 닭갈비 등 양념된 고기와 잘 어울린다.",산막 생유 막걸
81,"화주, 375ml, 25% 옅은 호박색의 술로 6년근 홍삼이 들어갔지만 삼 특유의 향이 강하지 않고 산뜻한 향이 올라온다. 입 안에서 살짝 단맛과 쓴맛이 교차하고 도수가 높지 않아 부드럽고 목 넘김이 깔끔하다. 삼계탕과 잘 어울린다.",화주
82,"회곡 생 막걸리 750ml, 6% 곡물 발효에서 잘 익은 술에서 올라오는 바닐라 향과 단맛과 산미가 적절하게 조화되어 있으며 연한 청량미를 가지고 있는 것이 특징이다. 양념불고기와 어울린다.",회곡 생 막걸
83,"크라테 레드와인 드라이, 750ml, 11.5% 붉은 흑진주 색을 가진 레드 스위트는 입 안에 넣는 순간 기분이 좋아지는 은은한 포도 향과 숙성으로 느껴지는 스파이시한 향이 있고 풀바디의 중후함도 느껴진다. 단맛과 신맛이 밸런스 있고 뒤에 올라오는 드라이함의 균형이 잘 갖춰진 술이다. 스테이크, 고기요리, 꼬치구이, 찜요리 등에 잘 어울린다.",크라테 레드와인 드라이
84,"삼양춘 청주, 500ml, 15% 잘 익은 과실향이 올라오고 강하지 않은 단맛과 뒤에 천천히 올라오는 산미가 전체적인 술 맛의 조화를 이루고 있는 것이 특징이다. 뒤에 산미가 올라와 목 넘김과 술을 마시고 난 후의 느낌이 매우 깔끔하다. 양념 되지 않은 흰살 생선 찜과 잘 어울린다.",삼양춘 청주
85,"지평생옛막걸리(1.7L) , 5% 전형적인 밀가루 막걸리다. 입국에 의한 발효취가 강하게 올라오고 밀가루 막걸리 특유의 걸쭉함과 텁텁함이 있다. 단맛이 강하고 산미는 적다. 파김치가 적격이다.",지평 생 옛막걸
86,"양촌 생 막걸리 750ml, 6% 쌀을 튀겼을 때 나는 고소한 향이 특징이다. 색이 진하고 적절한 단맛과 산미의 조화가 좋다. 두부에 겉절이 김치를 함께하면 좋다.",양촌 생 막걸
87,"삼양춘 생탁주, 500ml, 12.5% 밀 누룩을 이용해 맑은 아이보리 색을 가지고 있으며 막걸리이지만 발효 기간이 길어 탄산에 의한 청량감은 없지만 술 자체의 산미가 전체 술 맛의 조화를 잘 갖게 만들어 준다. 일반 막걸리에 비해 알코올 도수가 높아 술이 가볍지 않고 묵직하며 술을 마시고 난 후에는 옅은 쓴맛이 양념된 낙지나 주꾸미 볶음류와 매우 잘 어울린다.",삼양춘 생탁주
88,"동정춘, 500ml, 8% 진한 아이보리색을 가지고 있으며 달콤하면서도 바닐라 향이 은은하게 올라온다. 쌀양 대비 물이 적게 들어가 단맛이 강하고 약한 산미가 지나친 단맛을 잡아주는 모습이다. 입 안에서는 단맛으로 꽉 차는 느낌이 들고 마시고 난 후에는 오히려 여운이 짧고 고소하다. 갈비찜 등 단맛이 약간 있는 음식들과 잘 어울린다.",동정춘
89,"해미읍성 딸기와인, 500ml, 12% 딸기를 넣어 빚은 와인으로 진한 남적색을 가지고 있으며 딸기의 느낌이 많지는 않지만 발효 후 느껴지는 새로운 향과 맛이 매력적이다. 어느 맛 하나 튀지 않고 오미가 잘 갖춰진 술이며 마시고 난 후에 잔 여운이 오래 간다. 우리가 일상적으로 먹는 집밥에 반주로 매우 적합한 술이다.",해미읍성 딸기와인
90,"도깨비술 11%, 750ml, 11% 부드러운 아이보리 컬러가 인상적인 막걸리다. 잘 익은 누룩향에 사과향, 배향이 뭉근히 올라온다. 첫 느낌은 단맛과 신맛이 좋은 조화를 이루고 있으며, 마무리는 미세한 새콤함으로 마무리된다.식중주 막걸리로 손색이 없으며, 좀 더 단맛을 즐기고 싶다면 1주일 정도 냉장고에서 숙성해서 즐기면 단맛이 적어지는 만큼 또 다른 맛을 만날 수 있다. 단양에서 만들어지는 만큼 마늘 정식 등과 즐기면 좋으며, 쏘가리 매운탕, 메기 매운탕 등의 민물고기 요리와 곤드레 밥 등의 나물 요리도 좋은 매칭을 보인다.",도깨비술 11%
91,"해창 생 막걸리 12도 900ml, 12% 찹쌀의 감칠맛과 멥쌀의 센맛이 잘 어울어진 막걸리로 인위적이지 않은 원재료의 단맛이 있지만 강하지 않고 산미가 적당해 어떤 음식과도 잘 어울릴 수 있는 막걸리다. 6도나 9도보다 산미가 적고 청량미가 강하지 않다. 꼬막 무침 등과 잘 어울린다.",해창 생 막걸리 12도
92,"줄포 생 막걸리, 750ml, 6% 참외나 메론의 시원한 단맛이 인상적이다. 뒷 여운의 쓴맛이 적으로 어디에서 구입하던 맛의 편차가 크지 않은 생막걸리이다. 처음과 끝까지 목넘김이 부드럽고 여름과일의 달큼한 향이 감돈다. 각종 전 안주와 어울린다.",줄포 생 막걸
93,,"""국순당 증류소주 '려(驪)' 25도"", '\n\t포도를 증류한 브랜디에서 나는 향긋한 향기가 물씬 올라와 기분을 좋게 만들어 준다. 술을 입에 넣으면 마치 맑은 청주를 마시는 느낌이다. \n\t\n\t도수가 높지만 매우 부드럽고 술을 마시고 난 후에 자극적이지 않아 누구나 편하게 마실 수 있는 술이다. 양념이 과하지 않은 음식과 잘 어울린다.\n']"
94,"매실 막걸리, 750ml, 7% 아이보리 색의 막걸리로 과실 껍질에서 나는 향과 곡물의 고소한 향이 함께 올라온다. 청량한 맑은 단맛을 가지고 있으며 매실맛은 술을 마시고난 후에 살짝 올라온다. 매실을 이용했지만 산미는 적다. 더덕구이 등이 잘 어울린다.",매실 막걸
95,"선호 생막걸리, 750ml, 6% 쌀 특유의 풍미가 살아있는 막걸리. 개운한 맛으로 다양한 음식과 잘 어울리는 스타일. 칼칼한 맛이 살아있어 다양한 음식과 식중주로 잘 어울리는 막걸리이다. 단맛이 적어 달콤하고 매운 음식과 잘 어울릴 수 있다. 닭도리탕, 감자탕 등도 추천 메뉴다.",선호 생막걸
96,"문경 오미자 생 막걸리 750ml , 6.5% 산뜻한 오미자 특유의 산미 향이 코를 자극시키며, 오미자의 특징인 오미의 조화가 잘 갖춰진 색이 아름다운 막걸리다. 소고기 구이와 잘 어울린다.",오미자 생막걸
97,"희양산막걸리9%, 750ml, 9% 은은한 아이보리 빛깔의 술로 구수한 곡물향이 좋다. 산뜻한 산미가 입 안을 꽉 채워 시원한 느낌을 준다. 목넘김이 부드럽고 혀에 남는 잔 곡물의 느낌이 매우 좋다. 언제 어디서든 편하게 마실 수 있는 술이다. 같은 양조장의 15% 막걸리가 식사와 함께 하기 좋은 술이라면 이 술은 열심히 일 한 후에 고기류와 편하게 마실 수 있는 술이다.",희양산막걸리 9%
98,"동몽 500ml, 17% 맑은 황금빛의 술로 익은 호박향이 나며 독특한 단맛을 가지고 있다. 전체적으로 맛의 균형이 잘 갖춰져 있으며 단호박이 들어가 독특한 풍미를 가지고 있다. 두부전골과 잘 어울린다.",동몽
99,"무주 구천동 머루와인, 750ml, 12% 검붉은 빛의 묵직한 와인이다. 잘 익은 머루향과 산뜻한 발효향이 함께 올라온다. 입에 넣는 순간 달콤함과 자극적인 알코올맛이 입 안 전체를 채운다. 첫 맛은 달지만 천천히 올라오는 산미가 술 맛의 조화를 잘 이루게 한다. 술을 마시고 난 후에 미세한 떫은 맛이 식욕을 불러 일으킨다. 삼겹살과 잘 어울린다.",무주 구천동 머루와인
100,"김포약주 PET, 750ml, 11% 맑고 투명한 황금빛의 색을 가지고 있으며, 단맛과 신맛 등의 조화가 잘 갖춰 있어 어느 맛 하나 튀지 않는다. 약주류 중에서는 알코올 도수가 낮아(11%) 입 안의 풍미와 목 넘김이 가볍게 느껴진다. 마시고 난 후에도 여운이 길지 않아 누구나 편하게 즐길 수 있는 술이다. 닭백숙 등 양념되지 않은 고기류와 잘 어울린다.",김포약주 PET
101,"뱅꼬레 레드와인, 375ml, 12% 가벼운 맛의 레드와인. 탄닌감은 적지만, 고유의 포도 과육 맛이 돋보이는 스타일이다. 무겁지 않은 고기류와도 잘 어울린다. 불고기, 수육, 어복쟁반 등이 대표적이다.",뱅꼬레 레드와인
102,"예천주복 만월24, 350ml, 24% 맑은 핑크 빛의 아름다운 색을 가지고 있으며 복분자를 이용한 향은 더욱 향기롭다. 입 안에서 짧게 퍼지는 자극이 매우 흥미롭고 술을 마시고 난 후에 뜨거운 술의 느낌이 오래 남는다. 장어구이와 함께라면 몇 병이라도 함께 마실 수 있는 술이다.",예천주복 만월24
103,"겨울소주 25, 360ml, 25% 일반적인 증류주에 비해 도수가 낮지만 곡물향과 찐 식물향이 강하게 올라온다. 입 안에서의 곡물의 향미가 강하고 입의 자극이 매우 부드럽다. 자신의 취향에따라 온도를 달리해 마시기 좋은 술이다. 곡향이 좋으면 실온에서 마시고, 싫다면 얼음을 넣어 마시면 좋다. 양념이 되어 있는 돼지볶음 등과 잘 어울린다.",겨울소주 25
104,"창원 생탁주, 750ml, 6% 막걸리 특유의 맑은 아이보리 컬러를 잘 표현한 술이다. 산미와 누룩향이 은은하게 올라오며 머금은 순간 짜릿한 청량감도 그대로 느껴진다. 과실 향, 꽃향, 긴 후미등 화려한 맛은 아니지만 막걸리 본연의 식감을 잘 표현한 술이기도 하다. 기존의 막걸리 안주와 즐기기에 적합하며, 오랜 친구들과 함께 나눈다면 추억이 새록새록 다가오는 클래식한 제품 디자인도 나름 매력적이다. 코다리찜, 가오리찜 등 다소 맵고 강한 양념 맛이 있는 음식과 즐기기 좋다.",창원 생탁주
