,상품명,주종,도수,용량,가격,원재료,제조사,대표자명,주소,연락처,온라인스토어,홈페이지,우리술 품평회,가격수정
84,삼양춘 청주,청주,15%,500ml,"￦16,800 (가격은 판매처 별로 상이할 수 있습니다)","강화섬쌀, 
                                        정제수, 
                                        백국, 
                                        황국, 
                                        전통누룩, 
                                        토종효모",송도향전통주조,강학모,"인천광역시 남동구 호구포로 50, 8층 819-1호",032-851-8979,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077742/products/4588320657,,,16800
85,지평 생 옛막걸리,탁주,5%,1.7L,"￦2,500 (가격은 판매처 별로 상이할 수 있습니다.)","밀, 정제수, 국, 분말종국, 효모, 정제효소 등",지평주조,김기환,경기 양평군 지평면 지평의병로62번길 27,031) 773-7030,,http://jpjujo.modoo.at/,,2500
86,양촌 생 막걸리,탁주,6%,750ml,"￦30,000원 1박스 20개입 (가격은 판매처 별로 상이할 수 있습니다.)","팽화미, 소맥분, 정제수, 물엿, 효소, 국 등",양촌양조,이동중,충남 논산시 양촌면 매죽헌로 1665번길 14-7,041) 741-2011,,http://yangchon.modoo.at/,,30000
87,삼양춘 생탁주,탁주,12.5%,500ml,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)","강화섬쌀, 
                                        전통누룩, 
                                        정제수",송도향전통주조,강학모,"인천광역시 남동구 호구포로 50, 8층 819-1호",032-851-8979,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077742,,,12000
88,동정춘,탁주,8%,500ml,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        누국, 
                                        정제수",농업회사법인(주)산수,안병수,강원도 홍천군 화촌면 야시대로 211-57,070-4195-0772,,,,18000
89,해미읍성 딸기와인,과실주,12%,500ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)","해미딸기(99.99%), 
                                        아황산염, 
                                        소르빈산염",농업회사법인해미읍성딸기와인(주),선권수,충남 서산시 고북면 산직마을길85,041-688-3980,https://shopping.naver.com/fresh/traditionalalcohol/stores/100305527,,,20000
90,도깨비술 11%,탁주,11%,750ml,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다)","멥쌀(국내산), 
                                        누룩, 
                                        효모, 
                                        정제수",농업회사법인 (주)도깨비양조장,김진경,충북 단양군 가곡면 사평3길 5,070-4133-2030,https://smartstore.naver.com/dokkaebisul/products/4676621051,,,12000
91,해창 생 막걸리 12도,탁주,12%,900ml,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)","햅쌀, 찹쌀, 물, 누룩",해창주조장,김순례,전남 해남군 화산면 해창길1,061) 532-5152,,http://haechangjujo.modoo.at/,,10000
92,줄포 생 막걸리_750ml,탁주,6%,750ml,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        종국정제수, 
                                        누룩, 
                                        효모, 
                                        아스파탐",내변산(동진주조),정태식,전북 부안군 행안면 부안농공단지길 14-11,063-582-0027,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068999,,,1200
93,려(驪)증류소주 25도,증류식소주,25%,375ml / 500ml,"￦30,000(가격은 판매처 별로 상이할 수 있습니다)","고구마(여주산 100%), 
                                        쌀(여주산 100%)",(농)국순당 여주명주(주),박용구,경기도 여주시 강천면 부평로 330,080-0035-100,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074039,,,30000
94,매실 막걸리_750ml,살균탁주,7%,750ml,"￦3,500(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        매실과즙",농업회사법인(주)백운주가,최창석,전라남도 광양시 옥룡면 신재로 946-18,061-763-6651,https://shopping.naver.com/fresh/traditionalalcohol/stores/100192629,,,3500
95,선호 생막걸리,탁주,6%,750ml,"￦1,700(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        누룩, 
                                        효모, 
                                        정제효소, 
                                        천연감미료, 
                                        정제수",김포금쌀탁주영농조합법인,최춘기,경기도 김포시 하성면 하성로 622,031-989-0104,https://shopping.naver.com/fresh/traditionalalcohol/stores/100194518,,,1700
96,오미자 생막걸리,살균탁주,6.5%,750ml,"￦2,500 (가격은 판매처 별로 상이할 수 있습니다.)","정제수, 백미(국내산), 입국(쌀, 밀), 올리고당, 물엿, 허브(유기농), 오미자 2.4%(국내산, 문경로동산), 정제효소, 아스파탐·아세셀펌칼륨(함성감미료, 메닐알라닌 함유)",문경주조,홍승희,경북 문경시 동로면 노은1길 49-15,054) 552-8252,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113504,,,2500
97,희양산막걸리 9%,탁주,9%,750ml,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        누룩, 
                                        정제수",두술도가,김두수,경북 문경시 가은읍 가은5길 7,010-4276-2329,,https://doosool.modoo.at,,8000
98,동몽,약주,17%,500ml,"￦30,000 (가격은 판매처 별로 상이할 수 있습니다.)","홍천 쌀, 정제수, 단호박, 국(밀 누룩)",예술,정회철,강원도 홍천군 내촌면 물걸리 508-2,033) 435-1120,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076877,,,30000
99,무주 구천동 머루와인_750ml,과실주,12%,750ml,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)",국내산 산머루,덕유양조,이재국,전북 무주군 안성면 장무로 1375-7,063-323-2355,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077965,,,25000
100,김포약주 PET,살균약주,11%,750ml,"￦9,000(가격은 판매처 별로 상이할 수 있습니다.)","옥수수 전분, 
                                        밀, 
                                        국, 
                                        효모, 
                                        젖산, 
                                        효소제, 
                                        정제수",김포양조,최형만,경기도 김포시 월곶면 김포대로 2763,031-989-5568,,http://www.kimpo.co.kr,,9000
101,뱅꼬레레드_375ml,과실주,12%,375ml,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)",양조용포도(경북 영천),(주)한국와인,하형태,경북 영천시 금호읍 창산길 100-44,054-333-3010,https://shopping.naver.com/fresh/traditionalalcohol/stores/100172559,,,25000
102,예천주복 만월24,일반증류주,24%,350ml,"￦12,800 (가격은 판매처 별로 상이할 수 있습니다)","복분자(국내산)증류원액, 
                                        복분자(국내산)과즙, 
                                        정제수",농업회사법인(주)착한농부,김상선,경북 예천군 용문면 복천길 16-8,054-652-0877,,http://예천주.kr/,,12800
103,겨울소주 25,증류식소주,25%,360ml,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)","증류원액(국내산쌀), 
                                        효모, 
                                        효소, 
                                        정제수",두이술공방,이윤범,충남 청양군 대치면 방죽골길 46-19,041-943-7678,https://smartstore.naver.com/arirangjujo/products/4985769134,,,10000
104,창원 생탁주,탁주,6%,750ml,"750ml ￦1,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        누룩, 
                                        효소, 
                                        아스파탐, 
                                        정제수",농업회사법인 우포의아침(주),박중협,"(1공장) 경남 창녕군 대지면 대지농공단지길 40, 
                                        (2공장) 경남 창원시 의창군 북면 천주로 1173번길29",070-4105-0997,,http://www.woopo.net,,1000
105,자희향,탁주,12%,500ml,"￦16,000 (가격은 판매처 별로 상이할 수 있습니다.)","찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양,노영희,전라남도 함평군 신광면 신해로 92,032) 518-7111,,http://jaheejayang.modoo.at/,,16000
106,진도홍주 루비콘_375ml,리큐르,40%,375ml,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        누룩, 
                                        지초, 
                                        정제수",대대로영농조합법인,김애란,전남 진도군 군내면 명량대첩로288-23,061-542-3399,,https://jindosul.modoo.at/,,10000
107,소백산 생 막걸리,탁주,6%,"1,700ml, 750ml","￦1,980 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 정제수, 소맥분, 입국, 효모 등",대강양조장,조국환,충북 단양군 대강면 장림리 113-7,043) 422-0900,,http://krwine.modoo.at/,,1980
108,안동소주 일품 17도_350ml,증류식소주,17%,350ml,"￦12,000(350ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        입국",안동소주일품,이주흥,경북 안동시 풍산읍 괴정리 926-5번지,054-854-6080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100083199,,,12000
109,문배술헤리티지25_375ml,증류식소주,25%,375ml,"￦55,000(375ml*9병)(가격은 판매처 별로 상이할 수 있습니다.)","메조, 
                                        찰수수, 
                                        쌀",문배주양조원,이기춘,경기도 김포시 통진읍 서암리 203-4,031-989-9333,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077340,,,55000
110,안동소주 양반탈_800ml,증류식소주,45%,800ml,"￦35,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        누룩, 
                                        정제수",명인 안동소주,박재서,경북 안동시 풍산읍 산업단지6길 6,054-856-6903,https://shopping.naver.com/fresh/traditionalalcohol/stores/100066783,,,35000
111,백운 복분자 와인_300ml,기타주류,11%,360ml,"￦7,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        토종 복분자과즙",농업회사법인(주)백운주가,최창석,전라남도 광양시 옥룡면 신재로 946-18,061-763-6651,https://shopping.naver.com/fresh/traditionalalcohol/stores/100192629,,,7000
