,정보,상품명
55,비옥한 땅에서 서해바다의 해풍을 맞으며 소금기를 가득 머금은 고창의 복분자는 당도와 품질이 뛰어나기로 소문이 나있다. 이러한 전북 고창의 1등급 선운산 복분자만을 엄선하여 30일 이상 발효하고 1년 이상 숙성 시킨 선운산 복분자주는 기존의 알코올주정에 과실을 담아 희석하는 리큐르주와는 달리 복분자 특유의 색과 향 맛이 그대로 살아 있다. 100% 복분자 원액을 그대로 발효시켜 풍미가 뛰어나다.,선운산 복분자주 
56,제조사 더한에서 제조하는 매실주는 특별하다. 국내의 다른 매실주는 5~6월경 수확되는 청매를 이용하는 반면 매실원주는 보다 완숙한 상태에서 7월경 수확되는 황매를 이용한다. 황매는 청매에 비해 향미가 뛰어나지만 고가인 단점이 있으나 최상의 원료로 최상의 제품을 만든다는 제품 철학으로 황매를 이용한다. 또한 천연꿀을 첨가하여 숙취 해소에 도움이 되어 음주 후 머리가 아프지 않은 것이 특징이다. 원매는 황매실 100%로 3년 이상 숙성 시켜 매실청으로 만든 프리미엄 매실주이다. 국내외 주류품평회에서 수많은 수상 기록이 말해주듯 원매의 제품력은 단연 최고이다.,원매 
57,한산소곡주는 백제 1500년의 오랜 역사와 전통을 고스란히 담아 전해 내려오는 전통주다. 현재 며느리인 우희열 명인이 1979년 충남 무형문화재 3호로 인정받은 故 김영신 여사에게 전수받아 그 명맥을 계승해오고 있다. 찹쌀과 누룩을 주원료로 들국화 메주콩 생강 홍 고추 등의 조화 속에 100일간 숙성을 하여 빚어지는 전통주인 한산소곡주는 감미로운 향과 특유의 감칠맛 때문에 취하면 자리에서 일어설 줄 모른다고 하여 ‘앉은뱅이 술’이란 이름으로도 불린다.,한산소곡주 
58,고려 초부터 빚기 시작한 진도 홍주는 임금에게 올려졌던 진상품 중 으뜸으로 천년을 간직한 지역의 대표적 전통주이다. 1994년에 전라남도 무형문화재 제26호로 지정되었다. 화끈한 맛과 그 화려한 빛깔 때문에 한눈에 반하고 마는 천년 전통의 명주인 진도 홍주는 쌀이 신비의 영약으로 불리는 한약재 지초(芝草)와 만나 미(味) 향(香) 색(色)을 고루 갖춘 고품격 명주로 특히 주재료인 지초는 동의보감 본초강목에서 강장 해독 청열 등에 효과가 있다고 전해오며 예부터 민간에서는 지초를 산삼에 못지않은 신비한 약초라고 불렀다.,명품 진도홍주
59,수백 년을 이어져 내려온 재래 전통비법으로 빚은 청명주는 그윽한 향기와 독특한 감칠맛이 그대로 살아 숨쉬는 술이다. 중원당 청명주는 100% 국내산 원료만을 사용하여 술을 빚으며 찹쌀과 누룩 소맥분을 제외한 일체의 인공감미료나 첨가물을 넣지 않고 저온에서 오랜 기간 발효 숙성한다. 17%의 알코올에 색과 향 그리고 맛이 뛰어나다.,청명주 500 
60,경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아 청포도 사과 감귤 생강 아메리카노를 가미하여 탄생한 6종의 사과소주는 미국을 비롯한 8개국에 수출되어 활발하게 판매중이다.,The 찾을수록 시리즈 
61,배와 생강으로 빚은 이강주. 이 술은 조선 중기부터 전라도와 황해도에서 제조되었던 조선 3대 명주 중의 하나이다. 이강주의 재료인 울금은 전라도에서 재배하여 왕실에 진상품으로 올렸기 때문에 전라도 전주 곳곳에서는 이강주를 많이 빚어왔다. 이강주가 전주에 정착한 배경에는 태조 이성계와 동고동락을 같이 조인옥의 영향이 컸는데 바로 동방사현 중 한 명인 조광조를 배출한 한양조씨 가문이다. 구한말에는 그 후손이 전주(완산)의 부사로 오게 되는데 그러면서 집에서 담그는 약소주로 이강주를 빚게 되고 이 전주 부사의 손자가 지금의 이강주를 빚는 조정형 명인으로 이어지게 된다.,이강주 400ml 
62,황금보리소주는 김제평야에서 재배되는 보리 일명 황금보리를 증류하여 만든 증류식 소주이다. 주정을 섞지 않고 보리만을 100% 증류하여 만든다. 두 번 증류하여 참숯에 여과해서 잡내 없는 깔끔함과 은은한 보리향이 특징이다. 다양한 도수로 나와 있어 색다른 소주의 풍미를 느낄 수 있는 제품으로 여성분들에게도 인기가 높은 제품이다. 고도주에 비해 부드럽고 깔끔한 맛이 매력적인 술이다.,황금보리소주17 
63,천비향 오양주 약주는 시중에 출시되어 있는 전통주와는 원료와 제조방법에서 완전히 차별화를 기하고 국내산 누룩과 1등급 평택 슈퍼오닝쌀만을 이용해 오양주로 빚고 100일간의 발효과정과 9개월간의 장기 저온숙성 과정을 거쳐 탄생한 프리미엄 약주이다. 인공감미료 및 방부제는 사용하지 않은 순수 쌀과 누룩만으로 빚은 건강한 술이다. 술의 숙성기간이 길어지면 술의 향과 맛이 깊어지는데 천비향 오향주는 오감을 자극하는 풍부한 풍미가 일품이다.,천비향 오양주 약주 
64,강진 병영면은 조선시대 지역 병권을 총괄했던 전라병영이 위치한 중요한 군사기지로 지금까지 그때의 흔적들이 전해져 내려오고 있는데 당시 장군들이 즐겨마시던 술이 명맥을 이어와 김견식 명인의 손끝에서 재탄생 되었다. 바로 그 술이 바로 병영소주다. 병영소주는 쌀이 귀하던 시절 빚어 마셨던 술이였다. 병영주조에서는 그 방식 그대로 보리쌀과 손수 빚은 누룩으로 밑술을 만들어 3주 이상 숙성시킨 뒤  여과와 증류를 통해 빚어내고 있는데 고도주임에도 불구하고 목넘김이 부드럽고 향이 온화한 술로 평가받고 있다.,병영소주 
65,도깨비술 7%는 시원한 멜론향과 바닐라향이 이채로운 술이다. 도깨비양조장에서 만든 도깨비술은 7% 9% 11% 세 종류가 있다. 도수에 관계없이 도깨비술이 보여주는 분명한 특징이 있는데 바로 깔끔함이다. 마시고 나서 입안에 텁텁하게 남는 느낌이 전혀 없다.도깨비술은 우리밀로 만든 누룩을 넣고 100% 멥쌀로만 만든다. 찹쌀을 섞으면 단맛을 내기 쉽지만 술이 끈적해지기 때문에 쓰지 않는다. 대신 쌀 투입량을 늘려 단맛을 낸다. 단양은 산지라 논농사가 드물어 쌀은 인접한 제천 의림지 쌀을 가져다 쓴다. 먼저 밑술을 만들고 이틀 후 덧술을 하는 이양주 방식이다. 발효에 보름 숙성에 사나흘이 걸린다.,도깨비술 7% 
66,그랑꼬또 로제와인은 포도 껍질을 같이 넣고 발효시키다가 어느 정도 우러나면 껍질을 제거하고 과육만으로 만든다. 레드와인과 화이트와인의 중간인 연하고 부드러운 핑크빛깔을 띠며 상큼한 맛과 부드러운 탄닌맛을 내며 장미향을 지녀 연인들의 와인 디저트 와인이라고도 불린다.,그랑꼬또 로제와인 
67,송이주는 옛 문헌에서 버섯 중에 으뜸으로 동서양의 문헌에서 버섯 중에 최고로 꼽는 송이버섯으로 빚은 약주이다. 독특한 향과 맛으로 소비자들에게 많은 호응을 얻고 있는 제품으로 미국 캘리포니아 리버사이드 국제 와인대회에서 2년 연속 수상을 하며 세계인의 입맛도 사로잡았다. 옅은 황녹색의 빛깔을 띄며 청량한 향을 풍기고 입안에서는 부드럽게 머물다 걸림없이 넘어간다. 술을 마신 후 입안에 남는 잔향도 매력적인 술이다.,송이주 
68,문경주조의 탁주 중 하나인 구름을 벗삼아는 전년도에 수확한 우리 햅쌀 100%로 만들어 믿고 마실 수 있는 막걸리로 틈도 없이 바쁜 일상 속에 구름을 벗삼아 막걸리 한잔을 기울이며 유유히 시간을 흘려 보내는 여유를 즐기라는 바람에서 만들어진 막걸리다. 백두대간 중심에 서있는 문경의 깨끗한 천연 지하 암반수와 전통누룩 국내산 백미와 찹쌀을 사용하여 빚는 구름을 벗삼아 막걸리는 달지 않아 깔끔한 끝 맛이 있으며 6%의 낮은 도수로 누구나 부담 없이 즐기기에 알맞은 막걸리다.,구름을 벗삼아 
69,대대포 생막걸리는 전남 담양을 대표하는 지역 막걸리로서 담양군에서 재배한 친환경 유기농쌀과 토종벌꿀을 사용하여 장기저온발효공법으로 제조한 프리미엄 막걸리다. 인공감미료를 첨가하지 않고 국내산 벌꿀과 천연감미료로 넣어 은은한 막걸리의 단맛을 자아내는 술이다. 대대포 생막걸리는 순천만 대대포 간척지에서 나는 쌀로 만들었다고 해서 붙여진 이름이다.,대대포 생막걸리 
70,2013년 품질 좋고 믿을 수 있는 국내산 원재료를 사용한 프리미엄 장수홍삼막걸리가 막걸리의 명가 서울장수막걸리에서 출시되었다. 이 제품은 (주)농협한삼인과 서울장수(주)가 공동사업을 추진하기 위해 2012년 업무협약을 체결한 후 개발한 제품이다. 홍삼 전문기업과 막걸리 전문기업이 만나 콜라보레이션 제품을 만든 것인데 국내산 원료만 사용하여 소비자에게 보다 질 좋은 제품을 생산하자는 일념으로 만들어졌다고 한다.,장홍삼 장수 막걸리 
71,동학1957은 물맑은 충주에 자리잡은 고헌정영농조합법인에서 만든 청주이다. 2014년부터 호주 등 해외로 수출하고 있으며 2018년에는 평창 동계올림픽 공식 판매주로 선정되어 세계인의 입맛을 사로잡았다. 품질 좋은 국내산 쌀로 빚어 저온 냉동여과하여 숙성한 제품으로 쌀의 풍미가 한층 살아 있는 술이다.,동학 1957 
72,옛날 평양의 이름난 주가 에서는 순창에서 생산되는 누룩을 가져다 술을 빚었다고 할 만큼 유명한 마을이 순창 건곡리(乾穀里)이다. “지란지교”는 이곳 건곡리의 구전비법 누룩과 주방문을 빌어 재현한 술로 멥쌀죽과 찹쌀고두밥으로 두 번 빚고 일체의 첨가물 없이 오직 전통누룩으로만 100일간 발효와 90일의 숙성을 끝낸 전통주로 “지란지교”의 풍미와 향취는 맑은 바람 한자락에 꽃향이 피어나듯 단맛 신맛 쓴맛에 더해 기분 좋은 떫은맛과 향까지 오감을 자극한 술이다.,지란지교 탁주 
73,금정산성 막걸리는 술빚기에 적합한 온도와 습도가 유지되는 해발 400m의 청정 환경을 갖춘 금정산성마을에서 제조된다. 깨끗한 자연환경속에서 발효된 자연산 누룩과 250m의 암반수를 사용한다. 금정산성 전통 막걸리의 맛을 그대로 느낄 수 있는 알코도수 8도의 100% 국내산 살아있는 쌀막걸리로 누룩 질이 전국 으뜸이며 산수로 술을 빚기 때문에 은은한 향과 구수한 맛이 일품이다. 제조 공정에서 전통 양조 방식을 그대로 따라 만든 발효주로 우리나라 많은 막걸리 중에서 유일하게 향토민속주로 지정되어 있는 대한민국 민속주 1호 막걸리이다.,금정산성 막걸리 
74,문경바람 오크는 오미자와인과 오미자브랜디로 한국술의 새로운 지평을 연 위스키 마스터블랜더 이종기 장인에 의해 탄생한 프리미엄 증류주이다. 문경바람은 당도가 높은 문경에서 자란 사과를 착즙 발효하여 1차 2차 증류하여 문경 전통도자기에서 300일간 숙성한 제품이다. 부드러운 목 넘김에 이어 사과향과 민트향의 여운이 입안에 오래 지속된다. 또한 다양한 부재료를 활용하여 칵테일로 즐기기에도 좋은 제품이다.,문경바람 백자 40% 
75,제주도 한라산에서 자란 산양산삼과 하수오 그리고 구기자를 넣어 만든 알콜도수가 45%인 증류주이다. 구기자의 붉은 색 하수오의 담백한 맛 산양산삼의 향과 제주 천연 지하 암반수가 만나 황금 빛깔이 나는 술로 고도주임에도 목 넘김이 부드러우며 재료에서 우려져 나오는 고유한 맛이 일품이다.,세우리 
76,내장산은 단풍으로 수려한 장관을 펼쳐놓기로 유명한 지역이지만 내장산의 복분자역시 뒤쳐지지 않을 만큼 붉기로 유명하다. 이 내장산에서 오직 복분자로 승부하는 과실주를 생산하는 내장산 복분자 영농조합의 한국형 와인 내장산복분자주 지통1호. 복분자 전문가로써 전통적인 가양주 비법과 양조기법을 병행하여 한국형 와인의 입지를 다지고 있는 곳이다.,내장산복분자주 지통1호 
77,문경바람 오크는 오미자와인과 오미자브랜디로 한국술의 새로운 지평을 연 위스키 마스터블랜더 이종기 장인에 의해 탄생한 프리미엄 증류주이다. 문경바람은 당도가 높은 문경에서 자란 사과를 착즙 발효하여 1차 2차 증류하여 문경 전통도자기에서 300일간 숙성한 제품이다. 부드러운 목 넘김에 이어 사과향과 민트향의 여운이 입안에 오래 지속된다. 또한 다양한 부재료를 활용하여 칵테일로 즐기기에도 좋은 제품이다.,문경바람 백자 25% 
